Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
208333094	Rich Dad's Guide to Investing: What the Rich Invest in, That the Poor and Middle Class Do Not!	1	Kiyosaki, Robert T.	Author	Lechter, Sharon L.	Author	Time Warner Books (2000), Edition: 1, 403 pages	2000		3			Rich Dad's Guide to Investing: What the Rich Invest in, That the Poor and Middle Class Do Not! by Robert T. Kiyosaki (2000)	Paperback	384 p.; 9.25 inches	1.0912881969 pounds	9.25 inches	1.25 inches	6.25 inches	9.25 x 6.25 x 1.25 inches	384 				[2021-08-21]			nonfiction	Read but unowned	English	English	HG4910 .K54	[0446677469]	0446677469, 9780446677462	Finance, Personal|Finance, Personal > United States|Investments|Investments > United States|investments	332.02401	Economics > Finance > Miscellany And Personal Finance > Personal Finance > Social Sciences		1	amazon.com books	[2021-11-11]			91187				
208333097	The House of Hades (Heroes of Olympus, Book 4)	5	Riordan, Rick	Author			Disney-Hyperion (2013), Edition: First Edition first Printing, 608 pages	2013		4			The House of Hades (Heroes of Olympus, Book 4) by Rick Riordan (2013)	Hardcover	608 p.; 8.63 inches	1.78 pounds	8.625 inches	1.875 inches	6 inches	8.625 x 6 x 1.875 inches	608 				[2021-08-14]				Read but unowned	English	English	PZ7.R48298 H	[1423146727]	1423146727, 9781423146728		813.6	21st Century > American fiction > English (North America) > Literature		1	amazon.com books	[2021-11-11]			13677041				
208333098	A Curious Mind: The Secret to a Bigger Life	3	Grazer, Brian	Author	Fishman, Charles	Author	Simon & Schuster (2015), Edition: 1st, 320 pages	2015		3			A Curious Mind: The Secret to a Bigger Life by Brian Grazer (2015)	Hardcover	320 p.; 8.38 inches	1.10010668738 pounds	8.375 inches	1.2 inches	5.625 inches	8.375 x 5.625 x 1.2 inches	320 				[2021-08-14]				Read but unowned	English	English	BF323.C8 G73	[147673075X]	147673075X, 9781476730752		153.8	Cognition And Memory > Decision Making And Persuasion > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			15726253				
208333100	Nonsense: The Power of Not Knowing	1	Holmes, Jamie	Author			Crown (2015), 336 pages	2015		4			Nonsense: The Power of Not Knowing by Jamie Holmes (2015)	Hardcover	336 p.; 9.53 inches	1.2 pounds	9.53 inches	1.13 inches	6.51 inches	9.53 x 6.51 x 1.13 inches	336 				[2021-08-25]			nonfiction	Read but unowned	English	English	BF463.U5 H55	[9780385348379]	9780385348379, 0385348371		153.4	Cognition And Memory > Philosophy and Psychology > Psychology > Thought, thinking, reasoning, intuition, value, judgment		1	amazon.com books	[2021-11-11]			16056053				
208333101	Change Your World: How Anyone, Anywhere Can Make A Difference	1	Maxwell, John C.	Author	Hoskins, Rob	Author	HarperCollins Leadership (2021), 240 pages	2021		3			Change Your World: How Anyone, Anywhere Can Make A Difference by John C. Maxwell (2021)	Ebook	240 p.						240 				[2021-08-13]			nonfiction	Read but unowned	English		BF637.C4 M379	[]			158	Applied Psychology > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			25931559				
208333103	Chatter: The Voice in Our Head, Why It Matters, and How to Harness It	1	Kross, Ethan	Author			Crown (2021), 272 pages	2021		3			Chatter: The Voice in Our Head, Why It Matters, and How to Harness It by Ethan Kross (2021)	Hardcover	272 p.; 8.6 inches	0.85 pounds	8.6 inches	0.95 inches	5.8 inches	8.6 x 5.8 x 0.95 inches	272 				[2021-08-18]			nonfiction	Read but unowned	English	English	BF697.S47 K76	[0525575235]	0525575235, 9780525575238		158.1	Applied Psychology > Personal improvement and analysis > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			25571927				
208333104	Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries	1	Bahcall, Safi	Author			St. Martin's Press (2019), Edition: Illustrated, 368 pages	2019		2			Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries by Safi Bahcall (2019)	Hardcover	368 p.; 9.54 inches	1.22136093148 pounds	9.54 inches	1.2948793 inches	6.44 inches	9.54 x 6.44 x 1.2948793 inches	368 				[2021-08-30]			nonfiction	Read but unowned	English	English	HD53	[1250185963]	1250185963, 9781250185969		658.4	Executive > Management > Management and auxiliary services > Technology and Application of Knowledge		1	amazon.com books	[2021-11-11]			22617594				
208333105	Skip the Line: The 10,000 Experiments Rule and Other Surprising Advice for Reaching Your Goals	1	Altucher, James	Author			Harper Business (2021), 282 pages	2021		3			Skip the Line: The 10,000 Experiments Rule and Other Surprising Advice for Reaching Your Goals by James Altucher (2021)	Ebook	288 p.						288 				[2021-08-19]			nonfiction	Read but unowned	English			[9780062998934]	9780062998934, 0062998935		650.1	Business > Management and auxiliary services > Personal success in business > Technology and Application of Knowledge		1	amazon.com books	[2021-11-11]			25572923				
208333106	The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation	5	Hanh, Thich Nhat	Author			Harmony (1999), Edition: 1st, 304 pages	1999		3			The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation by Thich Nhat Hanh (1999)	Paperback	294 p.; 7.99 inches	0.52 pounds	7.99 inches	0.8 inches	5.19 inches	7.99 x 5.19 x 0.8 inches	294 				[2021-08-15]			nonfiction	Read but unowned	English	English	BQ4230 .N53	[0767903692]	0767903692, 9780767903691	Buddhism > Doctrines|Four Noble Truths	294.34	Buddhism > Buddhism - practice > Other Religions > Religions > Religions of Indic origin		1	amazon.com books	[2021-11-11]			28082				
208333107	Professional Troublemaker: The Fear-Fighter Manual	1	Ajayi Jones, Luvvie	Author			Penguin Life (2021), 304 pages	2021		4			Professional Troublemaker: The Fear-Fighter Manual by Luvvie Ajayi Jones (2021)	Hardcover	304 p.; 8.5 inches	0.9 pounds	8.5 inches	1.2 inches	5.7 inches	8.5 x 5.7 x 1.2 inches	304 				[2021-08-22]			nonfiction	Read but unowned	English	English	BF575.S39 A43	[1984881906]	1984881906, 9781984881908		158.1	Applied Psychology > Personal improvement and analysis > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-11-11]			25651270				
