Title,Authors,Contributors,ISBN,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Mrs. March,Virginia Feito,"",9781631498619,hardcover,to-read,2021/10/26,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,"",9781583334386,hardcover,read,2021/05/25,2021/08/01,2021/08/01,1,"",,,,,,,4.0,,"",,"",No
Phishing for Phools: The Economics of Manipulation and Deception,"George A. Akerlof, Robert J. Shiller","",9780691168319,hardcover,read,2021/04/03,2021/04/21,2021/04/21,1,"",,,,,,,3.0,,"",,"",No
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M. J. DeMarco,"",9780984358106,paperback,read,2021/05/25,2021/06/21,2021/06/21,1,"",,,,,,,3.0,,"",,"",No
Luna and the Lie,Mariana Zapata,"","",digital,to-read,2021/11/06,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
One Decision: The First Step to a Better Life,Mike Bayer,"",9780593296011,hardcover,read,2021/05/25,2021/08/24,2021/08/24,1,"",,,,,,,3.0,,"",,"",No
Angrynomics,"Mark Blyth, Eric Lonergan","",9781788212786,hardcover,read,2021/05/25,2021/07/12,2021/07/12,1,"",,,,,,,3.0,,"",,"",No
Emotional Intelligence,Daniel Goleman,"",9780553804911,hardcover,read,2021/05/25,2021/08/04,2021/08/04,1,"",,,,,,,3.0,,"",,"genre-nonfiction, source-calibre",No
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"",9781577314806,paperback,read,2021/05/25,2021/06/28,2021/06/28,1,"",,,,,,,2.0,,"",,"",No
The Ship of the Dead,Rick Riordan,"",9781423160939,hardcover,read,2021/09/28,2021/11/05,2021/11/05,2,"",,,,,,,5.0,,"",,"",No
Black-And-White Thinking: The Burden of a Binary Brain in a Complex World,Kevin Dutton,"",9780374110345,hardcover,read,2021/05/25,2021/08/23,2021/08/23,1,"",,,,,,,3.0,,"",,"",No
The Dangers of Smoking in Bed: Stories,Mariana Enríquez,Megan McDowell (Translator),9780593134078,hardcover,to-read,2021/11/06,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,"",9781982662950,audio,read,2021/05/07,2021/08/29,2021/08/29,1,"",,,,,,,4.0,,"",,"",No
Over the Woodward Wall,A. Deborah Baker,"",9780765399274,hardcover,to-read,2021/10/27,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
Kill Creek,Scott Thomas,"",9781942645825,paperback,to-read,2021/10/25,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,"","",audio,read,2021/05/25,2021/05/31,2021/05/31,1,"",,,,,,,4.0,,"",,"",No
The Ex Hex,Erin Sterling,"",9780063027473,paperback,to-read,2021/09/17,"","",0,"",,,,,,,,,"",,"2021-source-booktube, tbr-p4",No
The Lament of Death,Maria Vermisoglou,"",B09C8X99D4,digital,to-read,2021/10/30,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
Nonsense: The Power of Not Knowing,Jamie Holmes,"",9780385348379,hardcover,read,2021/05/25,2021/08/25,2021/08/25,1,"",,,,,,,4.0,,"",,"",No
Dolores Claiborne,Stephen King,"",9781101138175,digital,to-read,2021/11/04,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
Apples Never Fall,Liane Moriarty,"",9781250220257,hardcover,to-read,2021/10/22,"","",0,"",,,,,,,,,"",,2021-source-booktube,No
F*ck Feelings: One Shrink's Practical Advice for Managing All Life's Impossible Problems,"Sarah Bennett, Michael Bennett MD","",9781476789996,hardcover,read,2021/05/23,2021/05/25,2021/05/25,1,"",,,,,,,3.0,,"",,"",No
The Mark of Athena,Rick Riordan,"",9781410452054,hardcover,read,2021/07/06,2021/07/06,2021/07/06,1,"",,,,,,,4.0,,"",,"",No
